Time	vincentr21	Michael Tardibuono	Benjamin Wuethrich	374494	Marc-François Cochaux-Laberge	Chuck Walker	Daniel Shanker	ellen-h	Stefan Tihanyi	dubyte	Thomas Fix	Adam Harvie	frigley1	Ricky Kwan	Noah Kipin	Peter Chau	Marie Payne
1543901130	?	?	?	349	?	?	?	?	?	?	?	?	?	?	?	?	?
1543901131	?	?	?	?	?	393	?	?	?	?	?	?	?	?	?	?	?
1543901404	319	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543901690	?	?	329	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543901877	369	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543902109	?	?	378	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543902168	?	?	?	397	?	?	?	?	?	?	?	?	?	?	?	?	?
1543902396	?	?	?	?	?	?	?	?	?	?	?	?	319	?	?	?	?
1543902763	?	?	?	?	327	?	?	?	?	?	?	?	?	?	?	?	?
1543902818	?	?	?	?	?	?	?	?	?	?	?	?	366	?	?	?	?
1543903127	?	?	?	?	373	?	?	?	?	?	?	?	?	?	?	?	?
1543904516	?	343	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543905028	?	388	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543925714	?	?	?	?	?	?	302	?	?	?	?	?	?	?	?	?	?
1543925821	?	?	?	?	?	?	346	?	?	?	?	?	?	?	?	?	?
1543958051	?	?	?	?	?	?	?	?	?	?	121	?	?	?	?	?	?
1543959511	?	?	?	?	?	?	?	?	?	?	159	?	?	?	?	?	?
1543961513	?	?	?	?	?	?	?	?	?	?	200	?	?	?	?	?	?
1543962226	?	?	?	?	?	?	?	?	?	?	241	?	?	?	?	?	?
1543971477	?	?	?	?	?	?	?	?	?	?	284	?	?	?	?	?	?
1543971730	?	?	?	?	?	?	?	?	?	?	327	?	?	?	?	?	?
1543984000	?	?	?	?	?	?	?	?	?	?	?	?	?	203	?	?	?
1543985207	?	?	?	?	?	?	?	?	?	?	?	?	?	243	?	?	?
1543986569	?	?	?	?	?	?	?	?	?	?	?	?	417	?	?	?	?
1543986572	?	?	?	?	?	443	?	?	?	?	?	?	?	?	?	?	?
1543986879	?	?	?	446	?	?	?	?	?	?	?	?	?	?	?	?	?
1543986940	?	?	?	?	?	?	?	?	?	?	375	?	?	?	?	?	?
1543987273	?	?	?	497	?	?	?	?	?	?	?	?	?	?	?	?	?
1543987567	?	?	?	?	?	?	?	?	?	?	425	?	?	?	?	?	?
1543987592	?	?	?	?	420	?	?	?	?	?	?	?	?	?	?	?	?
1543987680	?	?	?	?	?	492	?	?	?	?	?	?	?	?	?	?	?
1543988375	?	?	?	?	?	?	?	?	?	?	?	?	465	?	?	?	?
1543988576	?	434	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543988770	?	?	423	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543988972	?	481	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543989365	?	?	469	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543989391	?	?	?	?	465	?	?	?	?	?	?	?	?	?	?	?	?
1543994127	413	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543994513	457	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544063935	?	?	?	?	?	?	389	?	?	?	?	?	?	?	?	?	?
1544065685	?	?	?	?	?	?	432	?	?	?	?	?	?	?	?	?	?
1544159465	?	532	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544159966	?	?	?	547	?	?	?	?	?	?	?	?	?	?	?	?	?
1544160071	?	?	518	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544160288	?	?	?	?	?	540	?	?	?	?	?	?	?	?	?	?	?
1544160304	?	?	?	?	?	?	?	?	?	?	?	?	512	?	?	?	?
1544161011	?	583	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544161048	?	?	?	?	?	?	?	?	?	?	471	?	?	?	?	?	?
1544163244	?	?	?	?	?	590	?	?	?	?	?	?	?	?	?	?	?
1544164224	?	?	567	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544164402	?	?	?	?	?	?	?	?	?	?	519	?	?	?	?	?	?
1544165709	?	?	?	?	?	?	?	?	?	?	?	?	559	?	?	?	?
