Time	Marie Payne	Pat Smuk	Michael Tardibuono	Benjamin Wuethrich	emmawilsonix	Jonathan Melcher	Daniel Shanker	Mike Burns	aydanjiwani	cameronouellette	Sam Leitch	kelly ma	mozesmagyar	Mark Armstrong	David McFadzean	dracoyunho	frigley1	Ricky Kwan	Derek Boucher	Chuck Walker	Peter Chau	Stefan Tihanyi
1638508147	?	?	?	?	?	?	?	?	209	?	?	?	?	?	?	?	?	?	?	?	?	?
1638508289	?	?	?	238	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638508394	?	293	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638508531	298	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638508996	?	?	?	?	?	?	?	?	?	?	?	?	?	209	?	?	?	?	?	?	?	?
1638509196	?	?	?	?	?	?	?	?	?	?	?	?	212	?	?	?	?	?	?	?	?	?
1638509367	?	?	287	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638509985	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	35	?	?	?	?	?	?
1638510630	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	70	?	?	?	?	?	?
1638511627	?	?	?	285	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638511836	?	?	?	?	?	?	?	?	?	?	?	?	?	255	?	?	?	?	?	?	?	?
1638516052	?	?	?	?	?	221	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638517214	?	?	?	?	?	266	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638536727	?	?	?	?	?	?	216	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638539124	?	?	?	?	?	?	260	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638543537	?	?	?	?	?	?	?	?	?	?	?	?	255	?	?	?	?	?	?	?	?	?
1638543635	?	?	?	?	?	?	?	?	251	?	?	?	?	?	?	?	?	?	?	?	?	?
1638546636	?	?	?	?	?	?	?	?	?	205	?	?	?	?	?	?	?	?	?	?	?	?
1638548530	?	?	?	?	?	?	?	210	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638550223	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	34	?	?	?	?	?
1638550410	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	68	?	?	?	?	?
1638550748	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	104	?	?	?	?	?
1638550844	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	140	?	?	?	?	?
1638555953	?	?	?	?	?	?	?	?	?	246	?	?	?	?	?	?	?	?	?	?	?	?
1638556073	?	?	?	?	?	?	?	250	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638564714	?	?	?	?	?	?	?	?	?	?	?	?	?	?	185	?	?	?	?	?	?	?
1638573878	?	?	?	?	?	?	?	?	?	?	?	?	?	?	224	?	?	?	?	?	?	?
1638576626	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	33	?	?	?	?
1638578200	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	66	?	?	?	?
1638584546	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	101	?	?	?	?
1638584765	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	136	?	?	?	?
1638587348	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	174	?	?	?	?
1638589468	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	32	?	?	?
1638591129	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	212	?	?	?	?
1638595006	348	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638595270	?	342	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638595305	398	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638595509	?	391	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638595681	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	104	?	?	?	?	?	?
1638596103	?	?	?	?	?	?	?	?	299	?	?	?	?	?	?	?	?	?	?	?	?	?
1638596125	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	138	?	?	?	?	?	?
1638596263	?	?	334	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638596461	?	?	382	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638597040	?	?	?	?	?	?	?	?	346	?	?	?	?	?	?	?	?	?	?	?	?	?
1638597555	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	258	?	?	?	?
1638598367	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	304	?	?	?	?
1638598632	?	?	?	?	?	?	?	?	?	?	?	?	300	?	?	?	?	?	?	?	?	?
1638627889	?	?	?	?	?	?	304	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638632764	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	175	?	?	?	?	?	?
1638634511	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	64	?	?	?
1638635528	?	?	?	?	?	?	349	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638636080	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	97	?	?	?
1638638411	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	212	?	?	?	?	?	?
1638640543	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	130	?	?	?
1638648679	?	?	?	?	?	?	?	?	?	?	?	?	?	?	267	?	?	?	?	?	?	?
1638649184	?	?	?	?	?	?	?	292	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638649267	?	?	?	?	?	?	?	?	?	?	?	?	?	?	311	?	?	?	?	?	?	?
1638649684	?	?	?	?	?	?	?	335	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638661376	?	?	?	?	?	?	?	?	?	?	?	?	342	?	?	?	?	?	?	?	?	?
1638666610	?	?	?	?	?	?	?	?	?	?	?	?	?	296	?	?	?	?	?	?	?	?
1638668272	?	?	?	?	?	?	?	?	?	?	?	194	?	?	?	?	?	?	?	?	?	?
1638675529	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	31	?	?
1638677344	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	62	?	?
1638680686	?	?	?	?	?	?	?	?	?	?	?	?	?	337	?	?	?	?	?	?	?	?
1638680737	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	94	?	?
1638680833	?	?	432	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638680884	?	440	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638681141	446	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638681257	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	126	?	?
1638681275	?	490	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638681278	?	?	?	?	?	?	?	?	?	?	?	?	389	?	?	?	?	?	?	?	?	?
1638681425	?	?	481	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638681577	494	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638681956	?	?	?	?	?	?	?	?	?	?	?	?	436	?	?	?	?	?	?	?	?	?
1638683339	?	?	?	?	?	?	?	?	392	?	?	?	?	?	?	?	?	?	?	?	?	?
1638684841	?	?	?	?	?	?	?	?	438	?	?	?	?	?	?	?	?	?	?	?	?	?
1638686320	?	?	?	?	?	311	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638687217	?	?	?	?	?	?	?	?	?	?	?	?	?	381	?	?	?	?	?	?	?	?
1638687801	?	?	?	?	?	?	?	?	?	?	?	?	?	426	?	?	?	?	?	?	?	?
1638687934	?	?	?	?	?	355	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638712433	?	?	?	?	?	?	392	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638713709	?	?	?	?	?	?	435	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638715348	?	?	?	?	?	?	?	?	?	?	?	?	?	?	353	?	?	?	?	?	?	?
1638716931	?	?	?	?	?	?	?	?	?	?	?	?	?	?	395	?	?	?	?	?	?	?
1638719968	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	165	?	?	?
1638727941	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	160	?	?
1638741334	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	252	?	?	?	?	?	?
1638741782	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	292	?	?	?	?	?	?
1638753878	?	?	?	?	?	?	?	376	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638753971	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	344	?	?	?	?
1638754950	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	385	?	?	?	?
1638755874	?	?	?	?	?	?	?	416	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638756933	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	201	?	?	?
1638762589	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	331	?	?	?	?	?	?
1638764444	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	370	?	?	?	?	?	?
1638767151	544	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638767171	?	539	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638767309	?	?	529	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638767395	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	432	?	?	?	?
1638767437	?	?	?	?	?	?	?	?	?	?	?	?	482	?	?	?	?	?	?	?	?	?
1638767528	594	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638767591	?	?	?	?	?	?	?	?	483	?	?	?	?	?	?	?	?	?	?	?	?	?
1638767659	?	588	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638767678	?	?	577	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638768315	?	?	?	?	?	?	?	?	?	?	?	?	529	?	?	?	?	?	?	?	?	?
1638768830	?	?	?	?	?	?	?	?	529	?	?	?	?	?	?	?	?	?	?	?	?	?
1638770787	?	?	?	?	?	?	?	?	?	?	?	?	?	470	?	?	?	?	?	?	?	?
1638770943	?	?	?	?	?	398	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638771616	?	?	?	?	?	?	?	?	?	?	?	?	?	515	?	?	?	?	?	?	?	?
1638772367	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	476	?	?	?	?
1638772917	?	?	?	?	?	441	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638796585	?	?	?	?	?	?	?	?	?	?	?	?	?	?	437	?	?	?	?	?	?	?
1638797716	?	?	?	?	?	?	?	?	?	?	?	?	?	?	479	?	?	?	?	?	?	?
1638798821	?	?	?	?	?	?	476	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638798875	?	?	?	?	?	?	517	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638803874	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	410	?	?	?	?	?	?
1638805108	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	30	?
1638805458	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	60	?
1638806224	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	91	?
1638806340	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	122	?
1638807237	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	155	?
1638808520	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	190	?
1638813647	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	450	?	?	?	?	?	?
1638820679	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	229	?
1638820920	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	268	?
1638821179	?	?	?	?	?	?	?	455	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638821277	?	?	?	?	?	?	?	494	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638821717	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	306	?
1638822123	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	344	?
1638822983	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	382	?
1638823014	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	420	?
1638833356	?	?	?	?	?	?	?	?	?	?	188	?	?	?	?	?	?	?	?	?	?	?
1638836094	?	?	?	?	?	?	?	?	?	?	222	?	?	?	?	?	?	?	?	?	?	?
1638837317	?	?	?	?	?	?	?	?	?	?	260	?	?	?	?	?	?	?	?	?	?	?
1638838055	?	?	?	?	?	?	?	?	?	?	298	?	?	?	?	?	?	?	?	?	?	?
1638853393	644	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638853411	?	637	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638853542	?	?	625	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638853619	?	?	675	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638853632	693	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638853654	?	685	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638854252	?	?	?	?	?	?	?	?	?	?	?	?	576	?	?	?	?	?	?	?	?	?
1638854879	?	?	?	?	?	?	?	?	?	?	?	?	623	?	?	?	?	?	?	?	?	?
1638857337	?	?	?	?	?	487	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638857953	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	521	?	?	?	?
1638858739	?	?	?	?	?	?	?	?	?	?	?	?	?	559	?	?	?	?	?	?	?	?
1638858854	?	?	?	?	?	533	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638859063	?	?	?	?	?	?	?	?	?	?	?	?	?	604	?	?	?	?	?	?	?	?
1638859661	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	565	?	?	?	?
1638882195	?	?	?	?	?	?	560	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638882992	?	?	?	?	?	?	?	?	?	?	?	?	?	?	521	?	?	?	?	?	?	?
1638883457	?	?	?	?	?	?	?	?	?	?	?	?	?	?	564	?	?	?	?	?	?	?
1638884134	?	?	?	?	?	?	602	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638887771	?	?	?	?	?	?	?	535	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638888128	?	?	?	?	?	?	?	576	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638891826	?	?	?	?	?	?	?	?	?	283	?	?	?	?	?	?	?	?	?	?	?	?
1638896032	?	?	?	?	?	?	?	?	?	320	?	?	?	?	?	?	?	?	?	?	?	?
1638903394	?	?	?	?	?	?	?	?	569	?	?	?	?	?	?	?	?	?	?	?	?	?
1638903852	?	?	?	?	?	?	?	?	609	?	?	?	?	?	?	?	?	?	?	?	?	?
1638909521	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	489	?	?	?	?	?	?
1638913427	?	?	?	?	?	?	?	?	?	357	?	?	?	?	?	?	?	?	?	?	?	?
1638923635	?	?	?	?	?	?	?	?	?	?	334	?	?	?	?	?	?	?	?	?	?	?
1638924317	?	?	?	?	?	?	?	?	?	?	371	?	?	?	?	?	?	?	?	?	?	?
1638925002	?	?	?	?	?	?	?	?	?	?	408	?	?	?	?	?	?	?	?	?	?	?
1638925063	?	?	?	?	?	?	?	?	?	?	445	?	?	?	?	?	?	?	?	?	?	?
1638927697	?	?	?	?	?	?	?	?	?	?	483	?	?	?	?	?	?	?	?	?	?	?
1638928011	?	?	?	?	?	?	?	?	?	?	522	?	?	?	?	?	?	?	?	?	?	?
1638930581	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	527	?	?	?	?	?	?
1638940098	743	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638940276	?	734	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638940428	?	?	?	?	?	?	?	?	?	?	?	?	671	?	?	?	?	?	?	?	?	?
1638940685	?	?	722	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638941126	793	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638941568	?	?	?	?	?	?	?	?	?	?	?	?	?	650	?	?	?	?	?	?	?	?
1638941881	?	783	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638943107	?	?	770	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638943935	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	610	?	?	?	?
1638968167	?	?	?	?	?	?	?	?	?	?	?	?	?	?	608	?	?	?	?	?	?	?
1638968180	?	?	?	?	?	?	645	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638971517	?	?	?	?	?	?	?	?	?	393	?	?	?	?	?	?	?	?	?	?	?	?
1638972182	?	?	?	?	?	?	?	?	?	?	564	?	?	?	?	?	?	?	?	?	?	?
1638972297	?	?	?	?	?	?	?	?	?	?	611	?	?	?	?	?	?	?	?	?	?	?
1638975298	?	?	?	?	?	?	?	?	?	429	?	?	?	?	?	?	?	?	?	?	?	?
1638975499	?	?	?	?	?	?	?	?	?	?	?	?	?	?	654	?	?	?	?	?	?	?
1638977022	?	?	?	?	?	?	690	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638977221	?	?	?	?	?	?	?	?	?	465	?	?	?	?	?	?	?	?	?	?	?	?
1638983458	?	?	?	?	?	?	?	?	?	502	?	?	?	?	?	?	?	?	?	?	?	?
1638986014	?	?	?	?	?	?	?	?	?	?	?	?	715	?	?	?	?	?	?	?	?	?
1638993197	?	?	?	?	?	?	?	?	?	539	?	?	?	?	?	?	?	?	?	?	?	?
1638995363	?	?	?	?	?	?	?	?	?	580	?	?	?	?	?	?	?	?	?	?	?	?
1639002996	?	?	?	?	?	?	?	616	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639021075	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	566	?	?	?	?	?	?
1639026297	?	833	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639026422	?	?	819	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639026462	841	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639026885	?	?	?	?	?	?	?	?	?	?	?	?	762	?	?	?	?	?	?	?	?	?
1639027089	891	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639027303	?	882	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639027737	?	?	867	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639028210	?	?	?	?	?	?	?	?	?	?	?	?	809	?	?	?	?	?	?	?	?	?
1639029660	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	653	?	?	?	?
1639033378	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	699	?	?	?	?
1639056151	?	?	?	?	?	?	735	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639057346	?	?	?	?	?	?	?	?	?	?	655	?	?	?	?	?	?	?	?	?	?	?
1639057539	?	?	?	?	?	?	?	?	?	622	?	?	?	?	?	?	?	?	?	?	?	?
1639060310	?	?	?	?	?	?	?	?	?	?	?	?	?	?	697	?	?	?	?	?	?	?
1639062533	?	?	?	?	?	?	?	?	?	?	?	?	?	?	743	?	?	?	?	?	?	?
1639065642	?	?	?	?	?	?	780	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639068621	?	?	?	?	?	?	?	?	?	664	?	?	?	?	?	?	?	?	?	?	?	?
1639083054	?	?	?	?	?	?	?	?	?	708	?	?	?	?	?	?	?	?	?	?	?	?
1639083667	?	?	?	?	?	?	?	?	?	?	698	?	?	?	?	?	?	?	?	?	?	?
1639094726	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	607	?	?	?	?	?	?
1639097660	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	741	?	?	?	?
1639106992	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	648	?	?	?	?	?	?
1639112983	?	?	?	?	?	?	?	?	?	?	?	?	859	?	?	?	?	?	?	?	?	?
1639113015	?	931	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639113148	939	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
