Time	Marie Payne	Pat Smuk	Michael Tardibuono	Benjamin Wuethrich	emmawilsonix	Jonathan Melcher	Daniel Shanker	Mike Burns	aydanjiwani	cameronouellette	Sam Leitch	kelly ma	mozesmagyar	Mark Armstrong	David McFadzean	dracoyunho	frigley1	Ricky Kwan	Derek Boucher	Chuck Walker	Peter Chau	Stefan Tihanyi
1639113224	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	788	?	?	?	?
1639113348	?	981	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639113407	?	?	?	?	?	?	?	?	?	?	?	?	908	?	?	?	?	?	?	?	?	?
1639113458	?	?	913	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639113638	987	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639114053	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	835	?	?	?	?
1639114429	?	?	959	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639115248	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	689	?	?	?	?	?	?
1639141526	?	?	?	?	?	?	825	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639142657	?	?	?	?	?	?	?	?	?	?	742	?	?	?	?	?	?	?	?	?	?	?
1639142658	?	?	?	?	?	?	870	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639143226	?	?	?	?	?	?	?	?	?	?	786	?	?	?	?	?	?	?	?	?	?	?
1639151966	?	?	?	?	?	?	?	?	?	?	?	?	?	?	786	?	?	?	?	?	?	?
1639155711	?	?	?	?	?	?	?	?	?	?	?	?	?	?	829	?	?	?	?	?	?	?
1639166903	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	456	?
1639167280	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	492	?
1639168822	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	530	?
1639172786	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	570	?
1639174281	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	610	?
1639175249	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	650	?
1639179920	?	?	?	?	?	570	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639183002	?	?	?	?	?	609	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639186888	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	731	?	?	?	?	?	?
1639189509	?	?	?	?	?	650	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639189674	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	773	?	?	?	?	?	?
1639190322	?	?	?	?	?	691	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639199549	?	1031	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639199620	?	1081	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639199705	?	?	1008	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639199873	?	?	1057	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639199886	1035	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639200000	1083	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639200446	?	?	?	?	?	?	?	?	?	?	?	?	955	?	?	?	?	?	?	?	?	?
1639200744	?	?	?	?	?	?	?	?	?	?	?	?	1002	?	?	?	?	?	?	?	?	?
1639205545	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	881	?	?	?	?
1639205720	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	927	?	?	?	?
1639243674	?	?	?	?	?	?	?	?	?	?	?	?	?	?	874	?	?	?	?	?	?	?
1639244076	?	?	?	?	?	?	?	?	?	?	?	?	?	?	919	?	?	?	?	?	?	?
1639246525	?	?	?	?	?	?	914	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639246702	?	?	?	?	?	?	958	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639277168	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	816	?	?	?	?	?	?
1639277544	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	859	?	?	?	?	?	?
1639283247	?	?	?	?	?	733	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639284009	?	?	?	?	?	775	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639285857	?	1131	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639286039	?	1181	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639286083	1132	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639286410	1181	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639286452	?	?	1105	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639286471	?	?	?	?	?	?	?	?	?	?	?	?	1049	?	?	?	?	?	?	?	?	?
1639287033	?	?	1153	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639288986	?	?	?	?	?	?	?	?	?	?	?	?	1096	?	?	?	?	?	?	?	?	?
1639323255	?	?	?	?	?	?	1004	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639332734	?	?	?	?	?	?	1050	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639335176	?	?	?	?	?	?	?	?	?	?	?	?	?	?	964	?	?	?	?	?	?	?
1639342954	?	?	?	?	?	?	?	?	?	748	?	?	?	?	?	?	?	?	?	?	?	?
1639343904	?	?	?	?	?	?	?	?	?	788	?	?	?	?	?	?	?	?	?	?	?	?
1639348232	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1009	?	?	?	?	?	?	?
1639360551	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	237	?	?	?
1639362277	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	273	?	?	?
1639363486	?	?	?	?	?	?	?	?	?	829	?	?	?	?	?	?	?	?	?	?	?	?
1639364012	?	?	?	?	?	?	?	?	?	870	?	?	?	?	?	?	?	?	?	?	?	?
1639370884	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	903	?	?	?	?	?	?
1639372706	1231	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639372720	?	1230	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639372751	?	1280	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639372761	1280	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639372765	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	947	?	?	?	?	?	?
1639373057	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	970	?	?	?	?
1639373570	?	?	?	?	?	?	?	?	?	?	?	?	1144	?	?	?	?	?	?	?	?	?
1639373860	?	?	?	?	?	?	?	?	?	?	?	?	1192	?	?	?	?	?	?	?	?	?
1639374694	?	?	1200	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639374737	?	?	1247	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639377236	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1013	?	?	?	?
1639384085	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1059	?	?	?	?
1639384156	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1105	?	?	?	?
1639405376	?	?	?	?	?	?	1095	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639406035	?	?	?	?	?	?	1140	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639408297	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	689	?
1639408705	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	728	?
1639410378	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	768	?
1639410515	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	808	?
1639412077	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	850	?
1639412470	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	892	?
1639414695	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1053	?	?	?	?	?	?	?
1639418887	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1097	?	?	?	?	?	?	?
1639421665	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	935	?
1639422088	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	978	?
1639458525	1330	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639458769	?	?	1296	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639459089	?	?	?	?	?	?	?	?	?	?	?	?	1240	?	?	?	?	?	?	?	?	?
1639459196	?	1327	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639459452	1380	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639460043	?	1376	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639460717	?	?	?	?	?	?	?	?	?	?	?	?	1288	?	?	?	?	?	?	?	?	?
1639461228	?	?	1343	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639487500	?	?	?	?	?	?	1186	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639489571	?	?	?	?	?	?	?	?	?	?	825	?	?	?	?	?	?	?	?	?	?	?
1639489716	?	?	?	?	?	?	?	?	?	?	864	?	?	?	?	?	?	?	?	?	?	?
1639491053	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1142	?	?	?	?	?	?	?
1639491918	?	?	?	?	?	?	?	?	?	?	905	?	?	?	?	?	?	?	?	?	?	?
1639492820	?	?	?	?	?	?	1232	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639493964	?	?	?	?	?	?	?	?	?	?	946	?	?	?	?	?	?	?	?	?	?	?
1639495625	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1022	?
1639497616	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1067	?
1639515434	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1148	?	?	?	?
1639525720	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1186	?	?	?	?	?	?	?
1639529169	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1191	?	?	?	?
1639544897	?	?	1393	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639545360	1429	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639546009	1479	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639547026	?	?	1442	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639547222	?	1424	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639547842	?	1472	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639548109	?	?	?	?	?	?	?	?	?	?	?	?	1335	?	?	?	?	?	?	?	?	?
1639577512	?	?	?	?	?	?	?	?	?	?	?	?	1382	?	?	?	?	?	?	?	?	?
1639579359	?	?	?	?	?	?	1278	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639581477	?	?	?	?	?	?	1324	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639581482	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1112	?
1639592670	?	?	?	?	?	?	?	?	?	?	988	?	?	?	?	?	?	?	?	?	?	?
1639594605	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1157	?
1639599662	?	?	?	?	?	?	?	?	?	?	1030	?	?	?	?	?	?	?	?	?	?	?
1639632416	?	1522	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639632726	1528	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639632792	?	1572	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639633049	1577	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639635785	?	?	1490	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639659747	?	?	?	?	?	?	?	?	?	?	1072	?	?	?	?	?	?	?	?	?	?	?
1639662145	?	?	?	?	?	?	?	?	?	?	1114	?	?	?	?	?	?	?	?	?	?	?
1639663146	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1233	?	?	?	?	?	?	?
1639663391	?	?	?	?	?	?	?	?	?	?	1158	?	?	?	?	?	?	?	?	?	?	?
1639664359	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1281	?	?	?	?	?	?	?
1639666142	?	?	1537	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639666219	?	?	?	?	?	?	1370	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639667100	?	?	?	?	?	?	1416	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639677575	?	?	?	?	?	?	?	?	?	?	1202	?	?	?	?	?	?	?	?	?	?	?
1639679870	?	?	?	?	?	?	?	?	?	910	?	?	?	?	?	?	?	?	?	?	?	?
1639683979	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1202	?
1639684576	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1247	?
1639686068	?	?	?	?	?	?	?	?	?	950	?	?	?	?	?	?	?	?	?	?	?	?
1639689350	?	?	?	?	?	?	?	?	?	991	?	?	?	?	?	?	?	?	?	?	?	?
1639689705	?	?	?	?	?	?	?	?	?	1032	?	?	?	?	?	?	?	?	?	?	?	?
1639696784	?	?	?	?	?	?	?	?	?	?	1246	?	?	?	?	?	?	?	?	?	?	?
1639697478	?	?	?	?	?	?	?	?	?	?	1290	?	?	?	?	?	?	?	?	?	?	?
1639718080	?	?	1587	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639718293	?	1621	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639718408	1625	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639718533	?	?	1637	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639718603	?	1670	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639718682	1673	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639723262	?	?	?	?	?	822	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639723427	?	?	?	?	?	869	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639746731	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1327	?	?	?	?	?	?	?
1639748384	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1373	?	?	?	?	?	?	?
1639749205	?	?	?	?	?	?	?	?	?	1073	?	?	?	?	?	?	?	?	?	?	?	?
1639756832	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1292	?
1639757091	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1337	?
1639759498	?	?	?	?	?	?	?	?	?	1114	?	?	?	?	?	?	?	?	?	?	?	?
1639761728	?	?	?	?	?	?	1460	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639765822	?	?	?	?	?	?	1504	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639777592	?	?	?	?	?	?	?	?	?	1157	?	?	?	?	?	?	?	?	?	?	?	?
1639806502	1723	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639806903	1773	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639810555	?	1719	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639811525	?	1768	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639898892	?	?	1687	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639899301	?	?	1737	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639924360	1822	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639925384	1871	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639936676	?	?	1785	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639937414	?	?	1833	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639941842	?	1816	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639942318	?	1864	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639946196	?	?	?	?	?	?	?	?	?	?	1333	?	?	?	?	?	?	?	?	?	?	?
1639946455	?	?	?	?	?	?	?	?	?	?	1376	?	?	?	?	?	?	?	?	?	?	?
1639965083	?	?	?	?	?	?	?	?	?	?	1423	?	?	?	?	?	?	?	?	?	?	?
1639965382	?	?	?	?	?	?	?	?	?	?	1470	?	?	?	?	?	?	?	?	?	?	?
1639978185	1921	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639978211	?	?	1882	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639978247	?	?	1932	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639978262	1970	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639978663	?	1912	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1639978712	?	1960	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640010075	?	?	?	?	?	?	?	?	?	?	1517	?	?	?	?	?	?	?	?	?	?	?
1640010454	?	?	?	?	?	?	?	?	?	?	1564	?	?	?	?	?	?	?	?	?	?	?
1640012315	?	?	?	?	?	?	?	?	?	1200	?	?	?	?	?	?	?	?	?	?	?	?
1640018079	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1420	?	?	?	?	?	?	?
1640018219	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1467	?	?	?	?	?	?	?
1640018462	?	?	?	?	?	?	?	?	?	?	1610	?	?	?	?	?	?	?	?	?	?	?
1640018664	?	?	?	?	?	?	?	?	?	?	1656	?	?	?	?	?	?	?	?	?	?	?
1640035726	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1513	?	?	?	?	?	?	?
1640036626	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1559	?	?	?	?	?	?	?
1640063255	?	?	1982	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640063289	?	2009	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640063655	2018	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640064721	2068	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640065962	?	2058	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640067363	?	?	2030	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640092922	?	?	?	?	?	?	?	?	?	?	1703	?	?	?	?	?	?	?	?	?	?	?
1640104896	?	?	?	?	?	?	?	?	?	1243	?	?	?	?	?	?	?	?	?	?	?	?
1640105034	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1605	?	?	?	?	?	?	?
1640106655	?	?	?	?	?	?	?	?	?	1286	?	?	?	?	?	?	?	?	?	?	?	?
1640107559	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	193	?	?
1640119999	?	?	?	?	?	?	?	?	?	?	1750	?	?	?	?	?	?	?	?	?	?	?
1640121152	?	?	?	?	?	?	?	?	?	1328	?	?	?	?	?	?	?	?	?	?	?	?
1640149971	?	?	2080	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640150118	?	2107	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640150220	2116	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640152373	2166	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640156087	?	?	2129	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640179111	?	?	?	?	?	?	?	?	?	?	1797	?	?	?	?	?	?	?	?	?	?	?
1640187169	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1651	?	?	?	?	?	?	?
1640195188	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1699	?	?	?	?	?	?	?
1640197211	?	?	?	?	?	?	?	?	?	?	1844	?	?	?	?	?	?	?	?	?	?	?
1640211155	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1741	?	?	?	?	?	?	?
1640211193	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1783	?	?	?	?	?	?	?
1640229888	?	2153	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640237642	2216	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640240199	?	2202	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640245879	?	?	2177	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640268555	2266	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640271133	?	2251	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640277772	?	?	2225	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640287788	?	?	?	?	?	?	?	?	?	?	1891	?	?	?	?	?	?	?	?	?	?	?
1640288917	?	?	?	?	?	?	?	?	?	?	1938	?	?	?	?	?	?	?	?	?	?	?
1640299190	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1829	?	?	?	?	?	?	?
1640312059	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1875	?	?	?	?	?	?	?
1640364010	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	308	?	?	?
1640371824	?	?	?	?	?	?	?	?	?	?	1988	?	?	?	?	?	?	?	?	?	?	?
1640372825	?	?	?	?	?	?	?	?	?	?	2038	?	?	?	?	?	?	?	?	?	?	?
1640373867	2315	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640374302	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1923	?	?	?	?	?	?	?
1640374497	2364	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640378091	?	?	2272	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640378730	?	?	2320	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640378956	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1970	?	?	?	?	?	?	?
1640402836	?	2297	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640402933	?	2343	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640409171	2414	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640409177	2464	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640409853	?	2392	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640409892	?	2441	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640410302	?	?	2368	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640410306	?	?	2416	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1640449530	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2017	?	?	?	?	?	?	?
1640452366	?	?	?	?	?	?	?	?	?	?	2084	?	?	?	?	?	?	?	?	?	?	?
1640452425	?	?	?	?	?	?	?	?	?	?	2131	?	?	?	?	?	?	?	?	?	?	?
1640457007	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2063	?	?	?	?	?	?	?
1640487468	?	?	?	?	?	?	?	?	?	1370	?	?	?	?	?	?	?	?	?	?	?	?
1640560834	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2109	?	?	?	?	?	?	?
1640560866	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2155	?	?	?	?	?	?	?
1640560886	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2201	?	?	?	?	?	?	?
1641140787	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	343	?	?	?
1641142890	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	378	?	?	?
1641167040	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	413	?	?	?
1641168665	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	448	?	?	?
1641168910	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	483	?	?	?
1642139595	?	?	?	320	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642140246	?	?	?	355	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642301826	?	?	?	389	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642302010	?	?	?	423	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642373640	?	?	?	457	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642375539	?	?	?	491	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642377373	?	?	?	525	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642379446	?	?	?	559	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642391757	?	?	?	595	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642655252	?	?	?	634	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642825722	?	?	?	672	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642893006	?	?	?	711	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642896021	?	?	?	749	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642896878	?	?	?	787	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642978006	?	?	?	825	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1642978439	?	?	?	863	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1643346569	?	?	?	902	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1643501490	?	?	?	941	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1643687938	?	?	?	981	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1643691253	?	?	?	1021	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1644117017	?	?	?	1061	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
