Time	David James	Benjamin Wuethrich	David	Devin	jramdass	Jeremy MacArthur	FrozenSake
1642896878	?	113	?	?	?	?	?
1642978006	?	119	?	?	?	?	?
1642978439	?	125	?	?	?	?	?
1643346569	?	132	?	?	?	?	?
1643501490	?	139	?	?	?	?	?
1643687938	?	146	?	?	?	?	?
1643691253	?	153	?	?	?	?	?
1644117017	?	160	?	?	?	?	?
1644121775	?	167	?	?	?	?	?
1645400513	?	174	?	?	?	?	?
1645403192	?	181	?	?	?	?	?
1645469261	?	188	?	?	?	?	?
1645483791	?	195	?	?	?	?	?
1646606655	?	202	?	?	?	?	?
1646626716	?	209	?	?	?	?	?
1648333265	?	217	?	?	?	?	?
1648334029	?	225	?	?	?	?	?
